candidate_id,rank,score,reasoning
CAND_0055905,1,0.994,"Outstanding candidate as Senior Machine Learning Engineer showing 8.1 years of experience, shows deep technical expertise in Python, Information Retrieval, Embeddings and search infrastructure. Highly active on Redrob with a 87% recruiter response rate."
CAND_0086022,2,0.9554,"Top-tier candidate currently working as Senior Applied Scientist (5.3 YoE), demonstrates strong proficiency in Vector Search, Pinecone, Embeddings and alignment with the JD. Available quickly with a short notice period of 0 days."
CAND_0005260,3,0.9501,"Top-tier candidate currently working as Senior NLP Engineer (5.2 YoE), offers solid expertise in MLOps, Information Retrieval, Python which matches the core ranking mandate. Excellent platform engagement with 86% response rate."
CAND_0002025,4,0.9441,"Highly relevant Senior AI Engineer with 5.9 years of background, offers solid expertise in FAISS, TensorFlow, NLP which matches the core ranking mandate. Excellent platform engagement with 80% response rate."
CAND_0071974,5,0.905,"Exceptional Senior AI Engineer offering 7.8 years of experience, offers solid expertise in Pinecone, Information Retrieval, Embeddings which matches the core ranking mandate. Highly active on Redrob with a 76% recruiter response rate."
CAND_0046064,6,0.9039,"Highly relevant Senior NLP Engineer with 8.9 years of background, has successfully deployed systems involving Python, Pinecone at scale. Highly active on Redrob with a 78% recruiter response rate."
CAND_0008425,7,0.9018,"Exceptional Senior NLP Engineer offering 7.8 years of experience, shows deep technical expertise in NLP, TensorFlow, Python and search infrastructure. Highly active on Redrob with a 66% recruiter response rate."
CAND_0039754,8,0.8957,"Exceptional Senior Applied Scientist offering 16.2 years of experience, offers solid expertise in NLP, Python, TensorFlow which matches the core ranking mandate. Highly active on Redrob with a 81% recruiter response rate."
CAND_0077337,9,0.877,"Highly relevant Staff Machine Learning Engineer with 7.0 years of background, demonstrates strong proficiency in Pinecone, Information Retrieval, RAG and alignment with the JD. Highly active on Redrob with a 95% recruiter response rate."
CAND_0088025,10,0.8726,"Exceptional Staff Machine Learning Engineer offering 8.6 years of experience, shows deep technical expertise in Pinecone, RAG, TensorFlow and search infrastructure. Highly active on Redrob with a 83% recruiter response rate."
CAND_0006567,11,0.8722,"Outstanding candidate as Senior AI Engineer showing 7.9 years of experience, shows deep technical expertise in NLP, Python, Ranking Systems and search infrastructure. Highly active on Redrob with a 79% recruiter response rate."
CAND_0046525,12,0.8696,"Exceptional Senior Machine Learning Engineer offering 6.1 years of experience, demonstrates strong proficiency in Information Retrieval, TensorFlow, NLP and alignment with the JD. Highly active on Redrob with a 88% recruiter response rate."
CAND_0081846,13,0.8653,"Highly relevant Lead AI Engineer with 6.7 years of background, demonstrates strong proficiency in Information Retrieval, PyTorch, Vector Search and alignment with the JD. Highly active on Redrob with a 73% recruiter response rate."
CAND_0011687,14,0.8615,"Exceptional Senior NLP Engineer offering 7.8 years of experience, shows deep technical expertise in TensorFlow, FAISS, Embeddings and search infrastructure. Available quickly with a short notice period of 15 days."
CAND_0018499,15,0.847,"Exceptional Senior Machine Learning Engineer offering 7.2 years of experience, has successfully deployed systems involving Pinecone, Information Retrieval, Milvus at scale. Highly active on Redrob with a 61% recruiter response rate."
CAND_0033861,16,0.8334,"Solid candidate working as Senior NLP Engineer with 8.0 years in the field, matching key job requirements like TensorFlow, Pinecone, Vector Search, though platform response rate is lower (16%)."
CAND_0094759,17,0.808,"Solid candidate working as Lead AI Engineer with 8.6 years in the field, matching key job requirements like Vector Search, NLP, MLOps, though platform response rate is lower (11%)."
CAND_0095528,18,0.8021,"Competent Senior Data Scientist (5.3 YoE), matching key job requirements like PyTorch, Vector Search, Python. Good overall behavioral signals."
CAND_0005538,19,0.7983,"Solid candidate working as Senior AI Engineer with 5.9 years in the field, matching key job requirements like Python, PyTorch, note the longer notice period of 90 days."
CAND_0013536,20,0.7946,"Competent Applied ML Engineer (14.1 YoE), matching key job requirements like PyTorch, NLP, Embeddings, note the longer notice period of 90 days."
